id;Наименование товара;Размеры в наличии;Цена розница, руб.;Цена оптовая, руб.;Оптовая скидка;Картинка товара на сайте Lebuto.ru;Страница товара на сайте Lebuto.ru;Цвет товара;Скидка;Состав;Детальное описание;Верхний раздел каталога;Подраздел каталога
14;Бандана-шарф Б/Н 03677-09;one size;;;;https://lebuto.ru/upload/iblock/4b5/ja30h36qymj91g9lrpqcn9dlzt442vjw/b2229f88_874f_11ed_812d_000c29cc4602_e5fa2af7_b3a5_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_09/;цветная;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
15;Бандана-шарф Б/Н 03677-10;one size;;;;https://lebuto.ru/upload/iblock/dac/g3om23452fz8hz03l2uf6n2bv2ve6hrx/caf20a67_874f_11ed_812d_000c29cc4602_1711bf2c_b3a5_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_10/;цветная;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
16;Бандана-шарф Б/Н 03677-11;one size;;;;https://lebuto.ru/upload/iblock/47a/p82j45e9qe7xwue1d7kantszycl5cmj7/e9e53c3c_874f_11ed_812d_000c29cc4602_af1c1a10_b3a5_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_11/;Серый;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
17;Бандана-шарф Б/Н 03677-12;one size;200;160;;https://lebuto.ru/upload/iblock/faf/u0hctssrfphz1ai3rvuttcdjex4k96l1/0ae90390_8750_11ed_812d_000c29cc4602_56eeb4a7_b3a9_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_12/;цветная;;;;Аксессуары;Банданы
18;Бандана-шарф Б/Н 03677-13;one size;;;;https://lebuto.ru/upload/iblock/10c/giig0391y3ji8r6k2038gbyiv3no4rcc/2905c992_8750_11ed_812d_000c29cc4602_52c7b176_b3a7_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_13/;цветная;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
19;Бандана-шарф Б/Н 03677-14;one size;;;;https://lebuto.ru/upload/iblock/e97/33ia3b76l40sfrl7ix1el9617s7vxbtc/4979c586_8750_11ed_812d_000c29cc4602_527ad7e8_b3a0_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_14/;Синий;;;;Аксессуары;Банданы
20;Бандана-шарф Б/Н 03677-15;one size;;;;https://lebuto.ru/upload/iblock/d22/9ncsikc6vbeixwnkbwepdshhknao5yzj/5c8f74a2_8750_11ed_812d_000c29cc4602_4fd11d29_b3a4_11ef_8168_000c29cc4602.jpg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/bandany/bandana_sharf_b_n_03677_15/;цветная;;100% полиэстер;Бандана выполнена из комбинированых материалов: флис+текстиль 100% полиэстер.;Аксессуары;Банданы
21;Берет Б/Н 52088 бирюзовый;one size;200;160;20;https://lebuto.ru/upload/iblock/bf8/b2i0zt6zr9it4tflr7oqdly4kq9r134k/da593c42_2a45_11ec_8100_000c29cc4602_a490f70e_58c2_11ec_8102_000c29cc4602.jpeg;https://lebuto.ru/catalog/aksessuary_1/shapki_kepki_bandany/shapki/beret_b_n_52088_biryuzovyy/;бирюзовый;;Полиэстер;;Аксессуары;Шапки
22;Блуза стрейч зелен. 5631;L;200;160;23.53;https://lebuto.ru/upload/iblock/7b2/b87392d9_5df7_11e5_bf6b_000c29cc4602_bfa47819_3940_11e7_9061_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/mayki_topy_futbolki/bluza_streych_zelen_5631/;;;50% хлопок 50% полиэстер;;Женская одежда;Майки, топы, футболки
23;Блузка 115 подростковая школьная (белый) длинный рукав;XS/38::S/40::M/42::L/44::XL/46;400;299;25.25;https://lebuto.ru/upload/iblock/95d/a0311640_b7e3_11e3_9ffd_000c29cc46f8_8947c71b_b054_11ea_80e8_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_115_podrostkovaya_shkolnaya_belyy_dlinnyy_rukav/;белый;;65% хлопок 32% нейлон 3% спандекс;р.XS(38) замеры по изделию: ширина груди 40 см., ширина талии 38 см., ширина бедер 44 см., длина спины 59 см., длина рукава 60 см.. ширина плеч 37 см., рост 153-158 р.S(40) замеры по изделию: ширина груди 42 см., ширина талии 40 см., ширина бедер 46 см., длина спины 59 см., длина рукава 60 см., ширина плеч 38 см., рост 153-158 р.М(42) замеры по изделию: ширина груди 44 см., ширина талии 42 см., ширина бедер 48 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39 см., рост 155-160 р.L(44) замеры по изделию: ширина груди 46 см., ширина талии 44 см., ширина бедер 50 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39,5 см., рост 155-160 р.XL (46) замеры по изделию: ширина груди 48 см., ширина талии 46 см., ширина бедер 52 см., длина спины 60 см., длина рукава 63 см., ширина плеч 40 см., рост 159-164 ;Девочкам;Школьная форма
